beta0,control_gamma_pt_zero,threshold,max_step,threshold_reached,operational_RG_scale,log_scale_at_stop,gmax_at_stop,exchange_trace_real_at_stop,exchange_00_real_at_stop,exchange_00_imag_at_stop,exchange_01_real_at_stop,exchange_01_imag_at_stop,exchange_10_real_at_stop,exchange_10_imag_at_stop,exchange_11_real_at_stop,exchange_11_imag_at_stop,exchange_hermiticity_error,g_hermiticity_error,solver_function_evaluations,solver_status
0.35,1,0.4,0.01,1,0.17012357769689873,1.5296657031164853,0.39999999999999986,0.6872146114653279,0.34360730573266396,0.0,0.0,-2.1677891619083317e-19,0.0,2.1677891619083317e-19,0.34360730573266396,0.0,0.0,0.0,920,1
0.35,1,0.4,0.005,1,0.17012357769690467,1.5296657031164504,0.4,0.6872146114653581,0.34360730573267906,0.0,0.0,-1.8526968165485518e-19,0.0,1.8526968165485518e-19,0.34360730573267906,0.0,0.0,0.0,1838,1
0.35,1,0.5,0.02,1,0.1524035251628912,1.6396590297365181,0.4999999999999997,0.7584412868528284,0.3792206434264142,0.0,0.0,-1.200118507246872e-20,0.0,1.200118507246872e-20,0.3792206434264142,0.0,0.0,0.0,500,1
0.35,1,0.5,0.01,1,0.15240352515536834,1.6396590297858797,0.49999999999999983,0.7584412868149107,0.37922064340745537,0.0,0.0,-5.301741486837107e-19,0.0,5.301741486837107e-19,0.37922064340745537,0.0,0.0,0.0,986,1
0.35,1,0.5,0.005,1,0.1524035251553789,1.6396590297858105,0.49999999999999994,0.7584412868149639,0.37922064340748196,0.0,0.0,-1.2220712673287283e-19,0.0,1.2220712673287283e-19,0.37922064340748196,0.0,0.0,0.0,1970,1
0.35,1,0.6,0.02,1,0.13919368506865654,1.7303244227264785,0.6000000000000002,0.8377500349750537,0.41887501748752687,0.0,0.0,1.0528540016686112e-18,0.0,-1.0528540016686112e-18,0.41887501748752687,0.0,0.0,0.0,524,1
0.35,1,0.6,0.01,1,0.13919368507227242,1.730324422700501,0.6000000000000001,0.8377500349928118,0.4188750174964059,0.0,0.0,-5.028379700403285e-19,0.0,5.028379700403285e-19,0.4188750174964059,0.0,0.0,0.0,1046,1
0.35,1,0.6,0.005,1,0.1391936850722583,1.7303244227006025,0.6000000000000001,0.8377500349927424,0.4188750174963712,0.0,0.0,-1.994235153329776e-19,0.0,1.994235153329776e-19,0.4188750174963712,0.0,0.0,0.0,2084,1
0.35,1,0.75,0.02,1,0.12481471442044902,1.8393604507164427,0.7499999999999999,0.9699140801305169,0.48495704006525847,0.0,0.0,1.824189164672662e-18,0.0,-1.824189164672662e-18,0.48495704006525847,0.0,0.0,0.0,560,1
0.35,1,0.75,0.01,1,0.12481471439237425,1.8393604509413741,0.7500000000000002,0.9699140800009177,0.48495704000045886,0.0,0.0,-5.595937816439853e-19,0.0,5.595937816439853e-19,0.48495704000045886,0.0,0.0,0.0,1106,1
0.35,1,0.75,0.005,1,0.12481471439244934,1.8393604509407726,0.75,0.9699140800012641,0.48495704000063206,0.0,0.0,-6.190290609550197e-19,0.0,6.190290609550197e-19,0.48495704000063206,0.0,0.0,0.0,2210,1
0.35,1,1.0,0.02,1,0.10958309780713872,1.9695076581785596,0.9999999999999998,1.2152883687309195,0.6076441843654597,0.0,0.0,1.961612628531451e-18,0.0,-1.961612628531451e-18,0.6076441843654597,0.0,0.0,0.0,596,1
0.35,1,1.0,0.01,1,0.10958309783195347,1.9695076579521127,1.0000000000000009,1.2152883688326759,0.6076441844163379,0.0,0.0,-1.1439169312118388e-18,0.0,1.1439169312118388e-18,0.6076441844163379,0.0,0.0,0.0,1184,1
0.35,1,1.0,0.005,1,0.10958309783204181,1.9695076579513064,0.9999999999999999,1.2152883688330374,0.6076441844165187,0.0,0.0,-7.628175424813117e-19,0.0,7.628175424813117e-19,0.6076441844165187,0.0,0.0,0.0,2366,1
0.4,0,0.2,0.02,1,0.26203664669859705,1.0977064368364426,0.19999999999999996,0.5424912181609837,0.2538469992711562,0.0,0.0,1.0539043284013155e-20,0.0,-1.0539043284013155e-20,0.28864421888982744,0.0,0.0,0.0,338,1
0.4,0,0.2,0.01,1,0.2620366466978399,1.0977064368393321,0.19999999999999998,0.542491218159056,0.25384699927042204,0.0,0.0,-6.004584452188167e-20,0.0,6.004584452188167e-20,0.2886442188886339,0.0,0.0,0.0,662,1
0.4,0,0.2,0.005,1,0.26203664669785537,1.0977064368392728,0.20000000000000007,0.5424912181590978,0.2538469992704394,0.0,0.0,-1.1595491622108538e-19,0.0,1.1595491622108538e-19,0.28864421888865843,0.0,0.0,0.0,1322,1
0.4,0,0.25,0.02,1,0.23164129226125024,1.2210007826213445,0.25000000000000006,0.5644956725223027,0.25944653931043893,0.0,0.0,-1.4219889666858388e-19,0.0,1.4219889666858388e-19,0.3050491332118637,0.0,0.0,0.0,374,1
0.4,0,0.25,0.01,1,0.23164129226049873,1.2210007826245888,0.2500000000000002,0.5644956725203717,0.2594465393097821,0.0,0.0,-1.3525406320469382e-19,0.0,1.3525406320469382e-19,0.3050491332105896,0.0,0.0,0.0,740,1
0.4,0,0.25,0.005,1,0.23164129226048844,1.2210007826246332,0.24999999999999997,0.5644956725203428,0.259446539309771,0.0,0.0,-1.6951719190942463e-19,0.0,1.6951719190942463e-19,0.3050491332105718,0.0,0.0,0.0,1472,1
0.4,0,0.3,0.02,1,0.2089400452764684,1.3241434576062787,0.3,0.5886838194823455,0.26587367636309633,0.0,0.0,7.476651553441314e-21,0.0,-7.476651553441314e-21,0.32281014311924916,0.0,0.0,0.0,404,1
