beta0,threshold,active_RG_scale,control_RG_scale,active_to_control_scale_ratio,petermann_factor,bare_SW_exchange,flat_band_SW_scale
0.52,0.4,0.17762693601697185,0.17502563339003704,1.0148624094456948,17.58699186991867,0.24,0.029775873640523403
0.52,0.5,0.15453951776210376,0.15678733565648317,0.985663268752112,17.58699186991867,0.24,0.029775873640523403
0.52,0.6,0.13785745630612184,0.14303396464720558,0.963809236821117,17.58699186991867,0.24,0.029775873640523403
0.52,0.75,0.12023607249779343,0.12791539905592236,0.9399655818235639,17.58699186991867,0.24,0.029775873640523403
0.52,1.0,0.10221666485103603,0.11181803723117356,0.9141339571156345,17.58699186991867,0.24,0.029775873640523403
0.55,0.2,0.26955466274125733,0.24228030175556045,1.1125735802212031,7.592156862745093,0.24,0.029775873640523403
0.55,0.25,0.2365706451555007,0.21917731140022864,1.079357364337365,7.592156862745093,0.24,0.029775873640523403
0.55,0.3,0.21207703663673755,0.20160680300181058,1.0519339301999295,7.592156862745093,0.24,0.029775873640523403
0.55,0.4,0.1776479937199002,0.1759167923513481,1.009841023960319,7.592156862745093,0.24,0.029775873640523403
0.55,0.5,0.15441048841162444,0.15758275530886331,0.9798692002115257,7.592156862745093,0.24,0.029775873640523403
0.55,0.6,0.13770323659994493,0.14372722026977688,0.958087384849405,7.592156862745093,0.24,0.029775873640523403
0.55,0.75,0.12013772454375474,0.12846773478508133,0.9351587365087257,7.592156862745093,0.24,0.029775873640523403
0.55,1.0,0.10223135979985375,0.11220521728842663,0.9111105728449792,7.592156862745093,0.24,0.029775873640523403
