beta0,control_gamma_pt_zero,omega,rho_min_eigenvalue,rho_max_eigenvalue,rho_trace,resolvent_sandwich_identity_error
0.5,0,-0.21100000000000002,0.10804632853610446,1.1885096138971494,1.2965559424332538,2.22185980736553e-16
0.5,0,-0.21000000000000002,0.108823892712407,1.1970628198364777,1.3058867125488847,5.716569249133797e-17
0.5,0,-0.20900000000000002,0.10960895514326224,1.2056985065758843,1.3153074617191467,3.334875460052558e-17
0.5,0,-0.20800000000000002,0.11040159759426699,1.2144175735369371,1.324819171131204,1.1127064217961636e-16
0.5,0,-0.20700000000000002,0.11120190263019117,1.2232209289321023,1.3344228315622937,1.1949511994472376e-16
0.5,0,-0.20600000000000002,0.11200995361524052,1.2321094897676463,1.344119443382887,2.2265137535086416e-16
0.5,0,-0.20500000000000002,0.11282583471290755,1.241084181841984,1.3539100165548916,5.895996604054182e-17
0.5,0,-0.20400000000000001,0.11364963088538652,1.2501459397392523,1.3637955706246387,2.222322646716313e-16
0.5,0,-0.203,0.11448142789253188,1.2592957068178523,1.3737771347103842,2.255374346855893e-16
0.5,0,-0.202,0.11532131229033787,1.268534435193717,1.383855747484055,1.3082631238434581e-16
0.5,0,-0.201,0.1161693714289121,1.2778630857180335,1.3940324571469456,3.338880653719301e-16
0.5,0,-0.2,0.11702569344992303,1.2872826279491534,1.4043083213990764,1.931534548004182e-17
0.5,0,-0.199,0.11789036728349123,1.2967940401184044,1.4146844074018956,2.233041889468869e-16
0.5,0,-0.198,0.11876348264450057,1.3063983090895073,1.4251617917340078,1.140886128700738e-16
0.5,0,-0.197,0.11964513002829993,1.3160964303112999,1.4357415603395998,1.134548088077361e-16
0.5,0,-0.196,0.12053540070576738,1.3258894077634418,1.446424808469209,1.1833992323124522e-16
0.5,0,-0.195,0.1214343867177074,1.3357782538947824,1.45721264061249,5.649428592724264e-17
0.5,0,-0.194,0.12234218086854884,1.345763989554039,1.4681061704225877,1.1144464601530468e-16
0.5,0,-0.193,0.12325887671931324,1.3558476439124463,1.4791065206317597,2.248797698945438e-16
0.5,0,-0.192,0.12418456857981836,1.3660302543780034,1.4902148229578216,2.399361123682361e-17
0.5,0,-0.19100000000000003,0.12511935150008469,1.3763128665009323,1.501432218001017,1.185593243641007e-16
0.5,0,-0.19000000000000003,0.1260633212609071,1.386696533869979,1.512759855130886,2.8391899061560763e-17
0.5,0,-0.18900000000000003,0.1270165743635563,1.3971823179991212,1.5241988923626775,1.1873183908517664e-16
0.5,0,-0.18800000000000003,0.12797920801857127,1.4077712882042848,1.535750496222856,3.482707353991742e-17
0.5,0,-0.18700000000000003,0.12895132013360228,1.4184645214696254,1.5474158416032278,3.735941320808994e-17
0.5,0,-0.18600000000000003,0.12993300930026558,1.4292631023029212,1.5591961116031867,1.1139008875175897e-16
0.5,0,-0.18500000000000003,0.13092437477996519,1.4401681225796188,1.571092497359584,2.221232752224609e-16
0.5,0,-0.18400000000000002,0.13192551648863987,1.4511806813750403,1.58310619786368,3.707428945552825e-17
0.5,0,-0.18300000000000002,0.1329365349803882,1.4623018847842706,1.5952384197646587,2.96142538877456e-17
0.5,0,-0.18200000000000002,0.13395753142992617,1.4735328457291883,1.6074903771591145,2.2512457606364577e-16
0.5,0,-0.18100000000000002,0.13498860761382941,1.4848746837521243,1.6198632913659539,1.1121115308271646e-16
0.5,0,-0.18000000000000002,0.13602986589050875,1.4963285247955973,1.6323583906861059,1.1110565056320193e-16
0.5,0,-0.17900000000000002,0.13708140917886802,1.5078955009675492,1.6449769101464171,2.246117388233816e-16
0.5,0,-0.17800000000000002,0.13814334093559183,1.51957675029151,1.6577200912271017,1.1104471940560673e-16
0.5,0,-0.17700000000000002,0.13921576513100675,1.5313734164410757,1.6705891815720826,2.239240755949855e-16
0.5,0,-0.17600000000000002,0.14029878622346192,1.5432866484580825,1.6835854346815444,2.2226728494955615e-16
0.5,0,-0.17500000000000002,0.1413925091321669,1.5553176004538356,1.6967101095860024,1.3023751259404238e-16
0.5,0,-0.17400000000000002,0.14249703920842977,1.5674674312927288,1.7099644705011583,5.318499309893915e-17
0.5,0,-0.17300000000000001,0.14361248220523393,1.5797373042575726,1.7233497864628067,2.255740970966714e-16
0.5,0,-0.17200000000000001,0.14473894424508482,1.592128386695934,1.7368673309410187,1.110765430139874e-16
0.5,0,-0.171,0.14587653178606835,1.6046418496467534,1.7505183814328218,2.2204478748696095e-16
0.5,0,-0.17,0.1470253515860464,1.6172788674465115,1.764304219032558,4.309276359422541e-17
0.5,0,-0.169,0.14818551066492425,1.6300406173141675,1.7782261279790919,4.072355807991263e-17
0.5,0,-0.168,0.14935711626491682,1.6429282789140847,1.7922853951790017,2.229728357328375e-16
0.5,0,-0.167,0.15054027580874008,1.6559430338961416,1.8064833097048818,1.1187726001333114e-16
0.5,0,-0.166,0.15173509685565373,1.6690860654121926,1.8208211622678463,4.0756664539275444e-17
0.5,0,-0.165,0.15294168705527472,1.6823585576080227,1.8353002446632973,1.3514018283808227e-16
0.5,0,-0.164,0.1541601540990848,1.6957616950899348,1.8499218491890197,2.220511392966547e-16
0.5,0,-0.163,0.15539060566955049,1.709296662365055,1.8646872680346054,2.2240577683889844e-16
0.5,0,-0.162,0.1566331493867682,1.7229646432544525,1.8795977926412206,4.3244634602506035e-17
0.5,0,-0.161,0.157887892752556,1.7367668202781172,1.8946547130306732,2.308873721980141e-16
