beta0,control_gamma_pt_zero,pole_index,pole_real,pole_halfwidth,coherent_channel,relative_rate_channel
0.485,0,1,0.021013388589182874,0.12,0.09925,0.097
0.485,1,0,-0.09925,0.12,0.09925,0.0
0.485,1,1,0.09925,0.12,0.09925,0.0
0.48750000000000004,0,0,-0.019213032686174206,0.12,0.099375,0.09750000000000002
0.48750000000000004,0,1,0.019213032686174206,0.12,0.099375,0.09750000000000002
0.48750000000000004,1,0,-0.099375,0.12,0.099375,0.0
0.48750000000000004,1,1,0.099375,0.12,0.099375,0.0
0.49,0,0,-0.017211914478058494,0.12,0.0995,0.098
0.49,0,1,0.017211914478058494,0.12,0.0995,0.098
0.49,1,0,-0.0995,0.12,0.0995,0.0
0.49,1,1,0.0995,0.12,0.0995,0.0
0.49250000000000005,0,0,-0.014929521928045657,0.12,0.099625,0.09850000000000002
0.49250000000000005,0,1,0.014929521928045657,0.12,0.099625,0.09850000000000002
0.49250000000000005,1,0,-0.099625,0.12,0.099625,0.0
0.49250000000000005,1,1,0.099625,0.12,0.099625,0.0
0.495,0,0,-0.012209115447074776,0.12,0.09975,0.099
0.495,0,1,0.012209115447074776,0.12,0.09975,0.099
0.495,1,0,-0.09975,0.12,0.09975,0.0
0.495,1,1,0.09975,0.12,0.09975,0.0
0.49750000000000005,0,0,-0.008646711802760465,0.12,0.099875,0.09950000000000002
0.49750000000000005,0,1,0.008646711802760465,0.12,0.099875,0.09950000000000002
0.49750000000000005,1,0,-0.099875,0.12,0.099875,0.0
0.49750000000000005,1,1,0.099875,0.12,0.099875,0.0
0.5,0,0,-0.0,0.12,0.1,0.1
0.5,0,1,0.0,0.12,0.1,0.1
0.5,1,0,-0.1,0.12,0.1,0.0
0.5,1,1,0.1,0.12,0.1,0.0
0.5025000000000001,0,0,0.0,0.12867377512966538,0.100125,0.10050000000000002
0.5025000000000001,0,1,0.0,0.1113262248703346,0.100125,0.10050000000000002
0.5025000000000001,1,0,-0.100125,0.12,0.100125,0.0
0.5025000000000001,1,1,0.100125,0.12,0.100125,0.0
0.505,0,0,0.0,0.13228566237530562,0.10025,0.101
0.505,0,1,0.0,0.10771433762469437,0.10025,0.101
0.505,1,0,-0.10025,0.12,0.10025,0.0
0.505,1,1,0.10025,0.12,0.10025,0.0
0.5075000000000001,0,0,0.0,0.13507014847305768,0.100375,0.10150000000000002
0.5075000000000001,0,1,0.0,0.10492985152694231,0.100375,0.10150000000000002
0.5075000000000001,1,0,-0.100375,0.12,0.100375,0.0
0.5075000000000001,1,1,0.100375,0.12,0.100375,0.0
0.51,0,0,0.0,0.13742842505793337,0.1005,0.10200000000000001
0.51,0,1,0.0,0.10257157494206662,0.1005,0.10200000000000001
0.51,1,0,-0.1005,0.12,0.1005,0.0
0.51,1,1,0.1005,0.12,0.1005,0.0
0.5125000000000001,0,0,0.0,0.1395156187449951,0.100625,0.10250000000000002
0.5125000000000001,0,1,0.0,0.10048438125500489,0.100625,0.10250000000000002
0.5125000000000001,1,0,-0.100625,0.12,0.100625,0.0
